202010001;Carlos Daniel;Avalos Chirinos;18;87654321;987654321;0
202010002;Elomar;Hernandez;30;87654328;987654329;2
202010003;Andres Gerard;Londra;12;87654323;987654325;2
202010004;Cristiano;Ronaldo;45;85432145;987654321;1
202010005;El Pepe;Admin;21;87652381;987789543;2
202010006;Setch;Admin;12;87658743;987452654;2
202010007;Bienvenido;Aguado;36;87125634;987876765;2
202010008;Cayde-6;Admin;80;79812437;918373645;0
202010009;Fabio;Wibner;38;79856123;914253653;0
202010010;David;Bringer;28;98712356;989654123;1
